#{"t_start": 1696590095.593497, "env_id": "None"}
r,l,t
-957.788665,157,12.912868
-1056.564337,191,28.730063
-1018.460795,99,36.931881
-912.298249,66,42.326071
-912.351466,61,47.317466
-1019.722896,67,52.876287
-1027.388603,81,59.605076
-911.983614,44,63.177795
-1009.581231,52,67.480325
-1014.88113,64,72.730017
-1009.846068,61,77.750091
-923.598051,88,84.963587
-915.088031,59,89.801316
-1013.290243,67,95.288657
-1056.749846,188,110.784535
-1036.156718,173,125.095343
-921.9818,112,134.374149
-1037.171247,121,144.332941
-1015.993124,68,149.913227
-17.490867,240,169.786339
-1011.739843,60,174.672763
-1032.067641,140,186.234536
-919.974358,71,192.110606
-934.595789,139,203.577704
-1073.317716,189,219.183786
-1031.621122,118,228.928514
-1009.43124,85,235.902017
-1010.626544,92,243.467689
-1036.888371,146,255.56933
-1024.359825,89,262.954556
-924.611566,147,275.08587
-810.725277,79,281.557972
-1009.71119,98,289.71165
-1020.265279,142,301.474334
-1011.470403,82,308.424226
168.617778,240,328.363894
-4.997031,240,348.283174
170.30167,240,368.37997
-15.108791,240,388.787424
86.031595,240,408.706494
296.978208,240,428.618191
90.795226,240,448.55718
-920.146264,108,457.517108
-9.66887,240,477.555903
0.211052,240,497.565505
-1041.253477,137,508.954611
-1026.825386,150,521.409458
-940.542548,174,535.873802
-54.323502,240,7564.913254
-1056.409985,169,7579.933414
-11.610852,240,7600.734095
85.509591,240,7620.959435
193.930479,240,7641.580926
89.846877,240,7661.965182
-5.495174,240,7682.136743
-16.676837,240,7702.695972
-20.562586,240,7723.391395
-19.002533,240,7744.208474
86.047176,240,7764.256545
-19.744412,240,7784.244378
-11.554079,240,7804.240291
88.378275,240,7824.196485
-26.722795,240,7844.145806
90.930824,240,7864.408831
-22.326772,240,7884.389899
-16.996572,240,7904.358656
181.961418,240,7924.334699
274.979006,240,7944.314965
185.429528,240,7964.331336
-38.314301,240,7984.358182
-10.297383,240,8004.363802
-38.434114,240,8024.491821
182.331085,240,8044.64241
79.581246,240,8064.612566
98.427831,240,8085.133639
